Key,Denit fromNO2- (nM/day),Hybrid2 (nM/day),Station,Nitrification (nM/day),f,iteration,cost,Denit from NO3- (nM/day),weightNH4,weightNO2,weightNO3,Feature,Denit from NO2- (nM/day)
PS1Top of oxycline,,0.0,PS1,8.784075944711394e-06,0.601777397935946,24,0.4154178033415098,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2144419839143817e-05,0.6378603307313035,29,0.4153041754200099,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.1558482854005675e-05,0.5720153265951051,30,0.4153107653241457,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.423833174983744e-06,0.5254192621715819,25,0.4153622296896078,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2517881507352922e-05,0.5725919312569981,32,0.4153964968446438,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.980386371110444e-06,0.5368950662740033,28,0.4153438073999536,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.280475308569808e-05,0.3345294582241173,37,0.4153683843971309,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.79565309924331e-06,0.4960716507059474,36,0.415359183045149,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2279828641098743e-05,0.6135470048097093,38,0.4153503906446281,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.494030911640172e-05,0.5225802891969569,31,0.4153065340472976,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.22441941113691e-05,0.5808000946198575,35,0.4153653543660842,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.0270727212057482e-05,0.5726690546369783,33,0.4153686151548186,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.459116804670064e-05,0.558232641949822,39,0.4152798217529326,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.0094364452376154e-05,0.554760194814903,41,0.4154104818207046,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.1308237519664548e-05,0.5559183690862077,40,0.415392019631826,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.4931880459680144e-05,0.6072316166220706,48,0.4153383213243218,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.461389591773584e-06,0.6009970360298406,45,0.415394008139297,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.3685174172560487e-05,0.5581876981990778,51,0.4153139285578531,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2564661029720738e-05,0.5877782125971005,50,0.415375395262084,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.8504875721019417e-05,0.8080444513078362,55,0.4152959870900243,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.5486084635361904e-05,0.59125287545662,56,0.4153110452622385,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.077029038885504e-05,0.4439929887031222,42,0.4153792977324517,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.4795871124629098e-05,0.4869515786046794,49,0.4153182798749956,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.1871950843440112e-05,0.5572859808328686,46,0.4153181638650052,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.405484262495527e-05,0.5406719126628825,47,0.4153661429259291,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.725008027794711e-06,0.7760094948812828,53,0.4154285492029608,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2462985359619286e-05,0.535929071227695,44,0.4153947177940922,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.4672624253363196e-05,0.5727364923132878,52,0.4153380843743507,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2599413097327036e-05,0.5461040348861192,57,0.415328410526063,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2864272833983327e-05,0.5508331382307227,54,0.4153828541622612,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.1656623036595668e-05,0.5629889788129455,59,0.4153757670832341,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.0568521758505536e-05,0.5853955611261605,58,0.4154042053051563,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,8.088663901709588e-06,0.8246754367900212,43,0.4154464974338561,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.3535988229652268e-05,0.5849658751872473,62,0.4153283185434499,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.541622043033392e-05,0.5355288438220642,60,0.4153574365675045,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.166477980982362e-05,0.5536623757198369,61,0.4153473915246268,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.0637045566113682e-05,0.5860344375484521,68,0.4153951277146257,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.246385767354698e-06,0.5586807135601499,65,0.4153888517699168,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.526647682488354e-06,0.5494298098651226,66,0.4154254248089763,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.6739292462891585e-05,0.5327185373281231,67,0.4153097255493321,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.6454751194004138e-05,0.5392063946449058,64,0.4153814498501922,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.016262611596581e-05,0.5894416813573519,63,0.4153892641304508,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.590116773188691e-06,0.5556187685024279,69,0.4153545353130792,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,8.906023400644196e-06,0.5317947256179218,71,0.415410721486438,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.1190417717048335e-05,0.582951418477959,73,0.4153912845275108,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2703139335510586e-05,0.5556757436161051,74,0.4153246663936641,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,7.597573218697577e-06,0.5493942583046814,72,0.4154349970525318,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2583273149764585e-05,0.524923270740904,76,0.4153823639975841,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.286676956380096e-06,0.4398855511924885,70,0.4154102173205583,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,1.1725629305361578e-12,PS1,8.048852140593746e-06,4.867573273264387e-05,77,0.4154238620544871,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,8.643584179991416e-06,0.5825768709180563,75,0.4154150280686838,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,7.037252918323578e-06,0.7606478124969225,78,0.415417752906685,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.291343324190738e-05,0.4781641298812067,79,0.4153779827127471,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.46996612081601e-05,0.536856577131178,80,0.4153056793884966,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.183172644305027e-05,0.5876005602830194,82,0.4153680352507115,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.3383348940354003e-05,0.555222138296903,81,0.4153848744517968,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.520048325177403e-05,0.5691185193791176,83,0.4153337134493426,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.459900923511582e-06,0.6017100208013129,87,0.4153856635747907,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.337053384486504e-06,0.565095004548471,85,0.4154155958617867,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.1694193557928529e-05,0.6188520013085483,84,0.4153685353860802,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,8.452162815329017e-06,0.4646310029323293,89,0.4154250245460979,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2112011432022602e-05,0.5127449926885419,97,0.4153877423335827,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.59169656482343e-06,0.4342578780679691,86,0.4153955264309273,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.0247055531468369e-05,0.501083693412345,94,0.4153955902185948,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.169643311098291e-05,0.5625643824209442,96,0.415409072223865,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,7.713870514449837e-06,0.459433780433792,88,0.4153662047900737,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.8626148394222e-06,0.5788982121834059,91,0.4153813036815138,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.359482459444198e-05,0.6951093344105606,95,0.4153007311187626,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.5837702868958325e-05,0.5434873270816791,92,0.4152605093038414,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.0263497507799038e-05,0.5588261535253307,93,0.415373022485942,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.0518226425567574e-05,0.565550761202313,90,0.4153299833543952,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,8.125042303909927e-06,0.5632571043156387,98,0.4154300359580653,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,8.920016129751388e-06,0.5564874864162694,99,0.4154038711979971,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
