Key,Nitrification (nM/day),Denit from NO2- (nM/day),Denit from NO3- (nM/day),Hybrid2 (nM/day),Station,Feature,cost,f,weightNH4,weightNO2,weightNO3
PS3SCM,0.0,0.6459214087850094,3.461401556552866,0.0838071660366234,PS3,SCM,28.23299331213365,0.4575063188584612,0.45,0.1,0.45
PS3SCM,0.0052082630790398,0.6458301231646867,3.461358049186165,0.0833378273853071,PS3,SCM,27.42059635748728,0.4572123546853216,0.45,0.1,0.45
PS3SCM,6.076036247064907e-05,0.6455808492201276,3.4609993561304084,0.0837727732821912,PS3,SCM,28.222845285952204,0.4570915963847635,0.45,0.1,0.45
PS3SCM,0.0052047743967894,0.6458818855081557,3.461320519934832,0.0833492943113404,PS3,SCM,27.420594507739253,0.4572498858913459,0.45,0.1,0.45
PS3SCM,0.0052050155948204,0.6458795833535047,3.4614554179000656,0.0833501119571983,PS3,SCM,27.42059460682668,0.4571838131889922,0.45,0.1,0.45
PS3SCM,0.0,0.6458293485060768,3.461462519327032,0.0837994548210904,PS3,SCM,28.232993285466268,0.4574750859970777,0.45,0.1,0.45
PS3SCM,1.053829280722391e-05,0.6459005768364916,3.461317173244526,0.0837492262707569,PS3,SCM,28.23123538062537,0.4575248717953267,0.45,0.1,0.45
PS3SCM,0.0,0.6458895213220456,3.4613939821567143,0.0837973082740021,PS3,SCM,28.232993048917223,0.4574600133020922,0.45,0.1,0.45
PS3SCM,0.0,0.6458619744038586,3.461299562540763,0.0838089751537391,PS3,SCM,28.23299296441768,0.4575038694948301,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.0060592469640342,0.1612487936197757,9.291397161867316e-05,PS2,Deep ODZ core,4.498787015036977,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Deep ODZ core,0.0,0.0047184781831807,0.160163732975902,0.0012504901622939,PS2,Deep ODZ core,4.47734770927203,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS1Interface,0.0,0.0075086959473513,1.1204545107446515,0.0510893606466931,PS1,Interface,11.916657059305551,0.4683089038929137,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS3SCM,0.0066688773054094,0.500460608395715,1.570806742057302,0.1571266825749561,PS3,SCM,30.00302686781065,0.3892203702924813,0.45,0.1,0.45
PS3SCM,0.006668877305409438,0.500460608395715,1.570806742057302,0.15712668257495613,PS3,SCM,30.00302686781065,0.38922037029248135,0.45,0.1,0.45
